Titulo,Precio
ACEITE DE CANOLA DON OLIO 2000 ML,$25.950 
ACEITE DE CANOLA DON OLIO 900 ML,$11.950 
ACEITE DE COCO VIRGEN NATRI 210 ML,$9.990 
ACEITE DE GIRASOL DON OLIO 900 ML,$8.350 
ACEITE DE GIRASOL DON OLIO 2000ML,$17.950 
ACEITE OLIVA EXTRAVIR CASTELL D F 250,$12.990 
ACEITE OLIVA EXTRAVIRGEN CASTELL DEL FERRO 500 ...,$21.950 
ACEITE SPRAY CANOLA DON OLIO 180 ML,$11.950 
ACEITE VEGETAL - SOYA 3000 Ml,$27.950 
ACEITE VEGETAL - SOYA 900 Ml,$8.990 
ACEITE VEGETAL IMATÁ 3.000 ML,$20.990 
ACEITE VEGETAL IMATÁ 900 ML,$6.990 
ACEITUNA DES/PIMIEN BOLSA AINOA 180 GR,$3.300 
ACEITUNA EN LATA AINOA 200 GR,$4.350 
ACHIRAS DEL HUILA 120 G,$6.900 
AGUACATE UNIDAD,$5.500 
AHUYAMA VARIEDAD UNIDAD,$1.990 
AJÍ PICANTE MASH 250 G,$3.990 
AJO GRANULADO SPECIARIA 28 G,$1.990 
AJO MALLA 3 UNIDADES - 100 G,$1.400 
ALBONDIGON VIANDE X 450 GRS,$6.990 
ALCAPARRAS EN VINAGRE AINOA 125 GR,$3.990 
ALFAJOR PREMIUM CHOCOLATE LECHE O BLANCO,$2.700 
ALMENDRA NUTHOS 150 G,$8.250 
ALMENDRAS CON CHOCOLATE CHALET 100G,$5.950 
ARÁNDANOS 125 G,$6.300 
ARÁNDANOS NUTHOS 150 G,$6.990 
AREPA AMARILLA MASMAÍ 5 UND - 400 G,$1.450 
AREPA BLANCA MASMAÍ 5 UND - 400 G,$1.450 
AREPA CON QUESO MOZZARELLA MASMAI 400 GRS...,$4.490 
AREPA DE CHÓCOLO 5 UND MASMAÍ 400 GRS,$2.990 
AREPA DE MAÍZ INTEGRAL MULTIGRANOS 400 G,$3.490 
AREPA DE QUESO 5 UND MASMAÍ 400 GRS,$2.900 
AREPA DE YUCA MASMAÍ 4 UND - 240 G,$3.990 
AREPA EXTRAQUESO MASMAÍ 4 UND - 720 G,$5.990 
AREPA MAÍZ MARGARINA SAL MASMAI 5UX400G,$1.900 
AREPA MINITELA BLANCA MASMAI 10 UND - 500 G...,$1.550 
AROS FRUTALES FIOCCO 230 G,$4.490 
ARROZ ACHOCOLATADO FIOCCO 320 G,$5.450 
ARROZ CON LECHE TRADICIÓN 1915 120 G,$2.490 
ARROZ DIANA 500 G,$2.100 
ARROZ ECONÓMICO 2000 GRS,$7.000 
ARROZ ECONÓMICO 454 GRS,$1.600 
ARROZ ESTÁNDAR 2500G,$9.650 
ARROZ ESTÁNDAR 500 GRS,$1.950 
ARROZ INTEGRAL DIANA 1.000 G,$4.500 
ARROZ PREMIUM 1000 GRS,$4.700 
ARROZ PREMIUM 2500 G,$11.750 
ARROZ SABOR A COCO DIANA 1.000 G,$6.300 
ARVEJA EL ESTIO 500 GRS,$1.990 
ATÚN ACEITE DE OLIVA CARLO FORTE 160 G,$7.490 
ATÚN EN ACEITE CARLO FORTE 170 G NETO,$5.450 
ATÚN EN AGUA CARLO FORTE 170 G NETO,$4.450 
ATÚN RALLADO EL NAVÍO 170 G,$3.450 
AVENA EN HOJUELAS FIT GRAAN 250 G,$1.400 
AZÚCAR BLANCA 1000 GRS,$4.600 
AZÚCAR MORENA 1000 GRS,$4.900 
BANANO UNIDAD,$450.000 
BARQUILLO RELLENO BISCOLATA NIRVANA,$1.600 
BARQUILLOS SURTIDOS NUZART 145 GR,$4.950 
BARRA DE CHOCOLATE CON CARAMELO Y MANI WAPPS...,$2.750 
BARRA CHOCOMANI CARAMELO BESTIES 52G,$2.500 
BARRA DE CHOCOLATE BISCOLATA DUOMAX,$2.990 
BARRA ESPARCIBLE DON OLIO 125 G,$1.350 
BARRAS DE CEREAL FIT GRAAN 138 G,$5.400 
BASE SALSA BECHAMEL/CARBONARA RICO 50G,$2.700 
BASE SALSA BOLOGNESA/NAPOLITANA RICO 48G,$2.700 
BASE SALSA POLLO CHAMP/GULASH RICO 45 R,$2.700 
BICARBONATO DE SODIO SPECIARIA 200 GR,$2.300 
BOCADILLO VELEÑO DULCE NATURALEZA 470 G,$4.700 
BON BON BUM FRESA PQ 6,$3.200 
BOMBON AVELLANA MILANGO 3 UND 38G,$5.490 
BRAZO DE REINA HORNEADITOS 85 G,$1.950 
BROWNIE CON AREQUIPE HORNEADITOS 80 GRS,$1.990 
BUTIFARRA VIANDE 500 G,$6.990 
CABANO VIANDE 68 GR X 4 UD,$3.750 
CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,$1.250 
CALDO CON COSTILLA MAGGI 10 UND 110G,$3.990 
CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,$1.990 
CALDO DE GALLINA SPECIARIA 8 UND - 84 G,$1.990 
CALDO DE GALLINA MAGGI 10 UND 110 G,$3.990 
CALDO DESMENUZADO SPECIARIA 12 UNDS,$2.990 
CANELA EN ASTILLAS SPECIARIA 20 GR,$2.200 
CANELA MOLIDA PURA SPECIARIA 28 G,$2.490 
CARAMELOS BLANDOS MECHAS LOCAS,$3.600 
CEBOLLA CABEZONA X 1000G,$2.000 
CEBOLLA LARGA 500 GR,$3.200 
CEREAL CHOCO KRISPIS 180G,$6.700 
CEREAL DE MAIZ Y QUINUA FIT GRAAN 300 G,$5.900 
CEREAL FLIPS CHOCOLATE 400 G,$15.500 
CEREAL FROOT LOOPS 135G,$6.200 
CEREAL LUCKY CHARMS 150 G,$8.700 
CEREAL ZUCARITAS 180G,$6.250 
CEREZAS MARRASCHINO AINOA 125 G,$5.250 
CHAMPIÑON 250 GR,$7.200 
CHAMPIÑONES TAJADOS COOLTIVO 280 G,$4.990 
CRISPETA CARAMELO CHEETOS 72 G,$2.990 
CHICHARRÓN 500 G,$7.990 
CHICHARRON DE CERDO KYTHOS 110GR,$9.900 
CHILE CON CARNE CRACHOS 300 G,$6.950 
CHIPS DE VEGETALES NATRI 50 GR,$2.990 
CHOCO COOKIE BISCOLATA BREAK 20 GRS,$1.000 
CHOCO TAJADA HORNEADITOS 70 G,$1.990 
CHOCOLATE KITKAT CHUNKY 40 GRS,$3.100 
BARRA DE CHOCOLATE PREMIUM CHALET DU CHOCOLAT 5...,$3.850 
CHOCOLATINA KEO 12 UND 144 G,$8.490 
CHOCOLATINA CREMINO CARAMEL 41 GRS,$1.990 
CHOCOLATINA JET X 10 UND,$9.990 
CHOCOLATINA JUMBO MANI 35 GRS,$3.200 
